"NM_POINT_SOURCE","ID_POINT","NO_VALUE_ORIGINAL","NO_VALUE_STANDARD","TM_PERIOD_START","TM_PERIOD_END","TM_PROCESSED","NM_DERIVATION_TYPE","NM_MNEMONIC"
"WeatherQuest","SK47004600_ActualRainFall",0,0,05-SEP-20 05.45.00.000000000,05-SEP-20 05.59.59.999000000,05-SEP-20 05.54.36.125000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,05-SEP-20 06.00.00.000000000,05-SEP-20 06.14.59.999000000,05-SEP-20 06.09.24.030000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,05-SEP-20 06.15.00.000000000,05-SEP-20 06.29.59.999000000,05-SEP-20 06.24.30.178000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,05-SEP-20 06.30.00.000000000,05-SEP-20 06.44.59.999000000,05-SEP-20 06.39.37.518000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,05-SEP-20 06.45.00.000000000,05-SEP-20 06.59.59.999000000,05-SEP-20 06.54.34.377000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,05-SEP-20 07.00.00.000000000,05-SEP-20 07.14.59.999000000,05-SEP-20 07.09.32.994000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,05-SEP-20 07.15.00.000000000,05-SEP-20 07.29.59.999000000,05-SEP-20 07.24.32.221000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,05-SEP-20 07.30.00.000000000,05-SEP-20 07.44.59.999000000,05-SEP-20 07.39.52.277000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,05-SEP-20 07.45.00.000000000,05-SEP-20 07.59.59.999000000,05-SEP-20 07.55.02.587000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,05-SEP-20 08.00.00.000000000,05-SEP-20 08.14.59.999000000,05-SEP-20 08.09.43.256000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,05-SEP-20 08.15.00.000000000,05-SEP-20 08.29.59.999000000,05-SEP-20 08.24.46.827000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,05-SEP-20 08.30.00.000000000,05-SEP-20 08.44.59.999000000,05-SEP-20 08.39.36.803000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0.03125,0.03125,05-SEP-20 08.45.00.000000000,05-SEP-20 08.59.59.999000000,05-SEP-20 08.54.24.714000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0.78125,0.78125,05-SEP-20 09.00.00.000000000,05-SEP-20 09.14.59.999000000,05-SEP-20 09.09.27.866000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0.09375,0.09375,05-SEP-20 09.15.00.000000000,05-SEP-20 09.29.59.999000000,05-SEP-20 09.24.32.310000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,05-SEP-20 09.30.00.000000000,05-SEP-20 09.44.59.999000000,05-SEP-20 09.39.40.746000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0.03125,0.03125,05-SEP-20 09.45.00.000000000,05-SEP-20 09.59.59.999000000,05-SEP-20 09.54.35.940000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,05-SEP-20 10.00.00.000000000,05-SEP-20 10.14.59.999000000,05-SEP-20 10.09.33.232000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,05-SEP-20 10.15.00.000000000,05-SEP-20 10.29.59.999000000,05-SEP-20 10.24.21.538000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0.03125,0.03125,05-SEP-20 10.30.00.000000000,05-SEP-20 10.44.59.999000000,05-SEP-20 10.39.34.924000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,05-SEP-20 10.45.00.000000000,05-SEP-20 10.59.59.999000000,05-SEP-20 10.54.32.722000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,05-SEP-20 11.00.00.000000000,05-SEP-20 11.14.59.999000000,05-SEP-20 11.09.34.171000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,05-SEP-20 11.15.00.000000000,05-SEP-20 11.29.59.999000000,05-SEP-20 11.24.28.291000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,05-SEP-20 11.30.00.000000000,05-SEP-20 11.44.59.999000000,05-SEP-20 11.39.32.898000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,05-SEP-20 11.45.00.000000000,05-SEP-20 11.59.59.999000000,05-SEP-20 11.54.27.225000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,05-SEP-20 12.00.00.000000000,05-SEP-20 12.14.59.999000000,05-SEP-20 12.09.33.479000000,"Average","mm/hr"
